stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainBlocks.thisRepN,mainBlocks.thisTrialN,mainBlocks.thisN,mainBlocks.thisIndex,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,Block1_Fix_onset_coreTime,Block1_Fix_onset_datetime,Block1_Trial_onset_coreTime,Block1_Trial_onset_datetime,Block1_ITI_onset_coreTime,Block1_ITI_onset_datetime,Block1_Fuel_onset_coreTime,Block1_Fuel_onset_datetime,Block2_Fix_onset_coreTime,Block2_Fix_onset_datetime,Block2_Trial_onset_coreTime,Block2_Trial_onset_datetime,Block2_ITI_onset_coreTime,Block2_ITI_onset_datetime,Block2_Fuel_onset_coreTime,Block2_Fuel_onset_datetime,Block3_Fix_onset_coreTime,Block3_Fix_onset_datetime,Block3_Trial_onset_coreTime,Block3_Trial_onset_datetime,Block3_ITI_onset_coreTime,Block3_ITI_onset_datetime,Block3_Fuel_onset_coreTime,Block3_Fuel_onset_datetime,participant,session,doPractice,
go,right,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,right,0,right,0.41889429998991545,True,90.00715079999645,2025-03-11_14:04:41.600368,93.02195829999982,2025-03-11_14:04:44.614428,93.47185709999758,2025-03-11_14:04:45.064919,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,left,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,left,0.15000000000000002,left,0.4070534999918891,False,94.00919599999906,2025-03-11_14:04:45.602067,96.81788299999607,2025-03-11_14:04:48.410718,97.25495339999907,2025-03-11_14:04:48.848237,97.0385421999963,2025-03-11_14:04:48.631507,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,left,0,left,0.5386175000021467,True,98.22028300000238,2025-03-11_14:04:49.813185,100.79795939999167,2025-03-11_14:04:52.391060,101.37203249998856,2025-03-11_14:04:52.965313,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,right,0,right,0.516273800007184,True,102.16015939999488,2025-03-11_14:04:53.753490,104.74050390000048,2025-03-11_14:04:56.333039,105.2887011999992,2025-03-11_14:04:56.881751,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,right,0,right,0.4721685999975307,True,106.29625659999147,2025-03-11_14:04:57.888938,108.40118289999373,2025-03-11_14:04:59.994532,108.9051185999997,2025-03-11_14:05:00.498430,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,left,0,left,0.5181990999990376,True,109.53159829998913,2025-03-11_14:05:01.124925,112.36229409999214,2025-03-11_14:05:03.955569,112.9217123999988,2025-03-11_14:05:04.514786,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,right,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,right,0.2,down,0.902891500008991,True,113.8252405999956,2025-03-11_14:05:05.418521,116.200892199995,2025-03-11_14:05:07.793920,117.13842689999728,2025-03-11_14:05:08.731603,116.37214229999518,2025-03-11_14:05:07.965134,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,1,0,8,4,,,,,,,,,,,left,0,None,None,False,117.9373157999944,2025-03-11_14:05:09.530689,120.17156779998913,2025-03-11_14:05:11.764808,121.45521909999661,2025-03-11_14:05:13.048197,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,1,1,9,0,,,,,,,,,,,left,0,None,None,False,122.08150609998847,2025-03-11_14:05:13.674234,124.93432190000021,2025-03-11_14:05:16.527248,126.22165089999908,2025-03-11_14:05:17.814487,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,1,2,10,2,,,,,,,,,,,left,0,None,None,False,127.1782261999906,2025-03-11_14:05:18.771441,129.31990499999665,2025-03-11_14:05:20.912667,130.60471689999395,2025-03-11_14:05:22.197780,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,,,,,0,0,0,0,1,3,11,1,,,,,,,,,,,right,0,None,None,False,131.4490003999963,2025-03-11_14:05:23.042144,133.68981099998928,2025-03-11_14:05:25.282790,134.9886986999918,2025-03-11_14:05:26.581584,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,,,,,0,0,0,0,1,4,12,3,,,,,,,,,,,right,0,None,None,False,135.54244029999245,2025-03-11_14:05:27.135533,138.54238749999786,2025-03-11_14:05:30.135310,139.8382622999925,2025-03-11_14:05:31.431485,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,right,,,,,0,0,0,0,1,5,13,7,,,,,,,,,,,right,0.15000000000000002,None,None,False,140.78338639999856,2025-03-11_14:05:32.376533,142.96611850000045,2025-03-11_14:05:34.559063,144.25561429999652,2025-03-11_14:05:35.848913,143.18891719999374,2025-03-11_14:05:34.781906,,,,,,,,,,,,,,,,,neda,001,True,
